project_id,project_name,company,industry,overall_risk_score,total_budget,current_spend,resource_utilization,delay_days,budget_variance,customer_payments_received,tech_sector_performance,market_volatility_index,company_stock_performance,technology_complexity,integration_challenges,team_turnover_rate,regulatory_changes,data_privacy_compliance
PROJ-2024-001,IoT Project,Tech Technologies,IoT,5.534602189809173,4623892.450394298,1437425.684760864,0.7546333043348024,37,0.6006199772225901,438948.4057137232,1.8562158709085246,18.236094694340707,-1.4989432547473773,6.376304869869779,5.039485189530475,0.19138220301979808,1,0.7463716454424302
PROJ-2024-002,Enterprise Software Project,Digital Technologies,Enterprise Software,5.0470603590850915,3359364.6058785943,2767093.4871452246,0.9125402014034361,11,0.8096318100028458,2958989.4771917188,3.532628757328696,23.38657154492457,1.368558238604244,6.780820478147502,6.323195611051767,0.05802787763308204,1,0.9584424437028083
PROJ-2024-003,Digital Transformation Project,Digital Enterprises,IoT,7.054392905039592,3334192.944956185,198859.55662936007,0.8603681449368876,44,1.1637343606939385,995034.680719457,2.29718908055527,16.03576566103015,-1.9612017583128776,5.80203413647656,4.7873689089546705,0.15931885269944893,1,0.7988161965959789
PROJ-2024-004,Fintech Project,Digital Enterprises,E-commerce,7.17912963955258,2314447.8493272024,2791182.8647968536,0.7030085314090286,16,1.165784401468871,477939.4454367517,3.4860014306007816,23.377290986226562,0.3764648828275412,6.937749579216542,4.985776489084165,0.0676556385936819,1,0.8104400769943414
PROJ-2024-005,IoT Project,Digital Solutions,Big Data,4.660955165578023,3885790.4703670456,1332795.115033185,0.8234146696877582,15,0.7862243072399944,677338.7072010775,3.468664204880506,16.527504316676165,-1.0359904866677039,7.957915831851031,4.323717151668928,0.24917128583563247,1,0.7117396763451578
PROJ-2024-006,Healthcare Tech Project,Smart Enterprises,Cybersecurity,6.468090287368977,2890823.0825791936,317389.3289910228,0.7638059744513428,34,0.960102626557688,1804339.3621902817,1.5666105602885632,15.82927152509726,1.1368775221768108,5.147160717763382,6.805229847941407,0.22945931770665895,1,0.7980636369295958
PROJ-2024-007,Cybersecurity Project,Global Solutions,Fintech,6.855614079259433,3548471.320527325,2478269.7700376566,0.721565171915562,1,0.6934472280119375,285726.21920788666,3.103423394150731,21.417754044410113,2.897099365689261,7.659592012115503,4.873010090200845,0.05421613208570739,1,0.9665091048403792
PROJ-2024-008,IoT Project,Digital Technologies,Cybersecurity,6.273253434329773,2428060.5673195794,1039134.8826853756,0.5865420977529577,10,0.7103720815298358,2601058.977409355,1.8719289079195933,19.719373657552943,0.3220145316032297,6.686847508302568,5.561867395514355,0.2217299157805262,1,0.7076642203364812
PROJ-2024-009,Digital Transformation Project,Global Solutions,Digital Transformation,3.757975374000497,3791734.088194126,1608548.244002332,0.7087713185547009,40,0.5230470884066074,2888349.069787727,1.8924780099780047,24.078906004128328,2.087491282628333,5.7562959786869,5.173998509398578,0.23388592011168152,0,0.8218982419140176
PROJ-2024-010,Fintech Project,Innovative Solutions,Healthcare Tech,7.379415417585285,4210121.829220471,414265.167917403,0.6106183641601586,2,1.3967465499077445,815567.5199354045,1.8890442306417423,18.63189196090849,0.5389209347556054,7.864669130027774,6.879784361750504,0.12070964451269102,0,0.7094198889438224
PROJ-2024-011,Enterprise Software Project,Tech Systems,Digital Transformation,5.695472763680043,1158963.1547126726,673936.6792702868,0.9116789674332446,28,0.7107066650749062,1405276.278913492,3.1767047426798447,17.871522634376287,0.4792001555201204,6.450062909176697,5.005147512815447,0.19390033100955317,0,0.8112770275327195
PROJ-2024-012,Digital Transformation Project,Innovative Technologies,Digital Transformation,4.412362131850019,4248183.720084026,1262111.2184337906,0.6509330660733561,17,0.7275338769364633,164189.9079855415,1.689478125377608,20.007349061441985,2.6521174658938893,5.995070755020157,6.335637464268067,0.13842074924155578,1,0.7517921922340873
PROJ-2024-013,Digital Transformation Project,Tech Systems,E-commerce,5.1261409271884695,2931334.3930563824,450062.05218461284,0.9285188065400175,19,0.7796014326451318,1958059.6517089424,1.0027175057382707,19.559461857686614,2.4498293437334073,5.544492884812524,6.56624846389354,0.1810464969152688,0,0.7756655179805115
PROJ-2024-014,Cybersecurity Project,Smart Solutions,Enterprise Software,3.187855451994537,4300996.590906009,3652222.4322766294,0.7398748805426201,46,0.627408071695429,1300385.5683525077,3.1457105604478994,18.444280462171882,1.929002325939872,5.733356630769986,5.306819492442898,0.1180634808596383,0,0.9632795119484256
PROJ-2024-015,AI/Machine Learning Project,Global Systems,Fintech,3.6393340061120876,2440857.6785345655,123583.46841751583,0.7841949704042721,13,1.1392628831813627,883169.5516945116,1.5135542315053758,21.937412986983286,-0.5187212334160796,7.498547124774328,5.134515443358794,0.11451184732665368,0,0.8308147661865672
PROJ-2024-016,Fintech Project,Digital Systems,Fintech,6.827733752579304,2205682.1842236575,1987054.8535708145,0.7443232000201975,33,0.5751429531775866,699827.6207881646,1.313447185923504,22.595618339139083,0.7250420786197029,6.843230027951497,6.243237462797884,0.1348867777715158,0,0.7821393974205736
PROJ-2024-017,Big Data Project,Tech Solutions,Digital Transformation,3.000058173776831,4617773.296327502,580665.0867169506,0.5582212776350154,48,0.6342024263263503,1996666.9252104054,1.7125483617821804,23.529839690301365,-0.880513833471575,7.739736858464948,6.738687940918702,0.07911355173050023,0,0.8768015133851643
PROJ-2024-018,Digital Transformation Project,Innovative Enterprises,IoT,5.082829142411461,1630261.703967806,1299948.4489639993,0.6691195485535735,53,1.1447567265900929,1307029.3899937118,2.139701566968112,24.728566047103428,0.21958349023269896,5.695905356473357,6.264795199216715,0.21622779288707655,1,0.7426320879497746
PROJ-2024-019,AI/Machine Learning Project,Smart Technologies,E-commerce,5.612550905427942,4298955.463787643,3711632.2832912356,0.5446157505249307,30,0.8396606204814427,621011.9381867449,2.427718982419602,17.666561921325044,0.421065328798953,5.363415721546705,4.681379096775597,0.11973957907232734,0,0.7778174822262567
PROJ-2024-020,Big Data Project,Tech Solutions,Digital Transformation,3.2731721000048615,2678092.5762923183,730608.7577685487,0.7803293198825217,57,1.2079478267011892,2098416.3363117897,1.1337101221378925,22.160934824899616,2.1582002008466548,5.01826259292677,6.664923242313116,0.13002991078116904,1,0.8638743902808665
